,Id,EssaySet,Score1,Score2,EssayText,split
0,15670,6,0,0,THEY MOVE IN LITLE GORPS AND EAT BATREA AND CAN REPORDUCE ASEXUALLY,train
1,14290,6,0,0,"1) The cell  outer wall membrane: Attaches with the rest of the structures and  functionsof the outer most cell.2) The cell's nucleus: Is the major working system that tells the other parts what to do, a correspondent.3) The cell cytoplasm: moves waste and gathers nutrients from the entire cell to supply it with life.",train
2,14447,6,0,0,One process is the mitocondria which  starts the movement of the cell across the membrane. Another process is the Rough ER which keeps the cell moving across the membrane. The last process is the Nucleus while is the distination of the moving cell.,test
3,15406,6,0,0,"The processes that control the movement of a substance across the cell membrane are the movement and the resperation, these help tell what is going on with the cell membrance and what kind of interactions it might come to.",train
4,15737,6,0,1,"When a substance tries to move into a cell, the cell mebrane is selective in what it alows. The cell membrane is selectively permeable, meaning it only allows what it wants into and out of the cell. Also, substances try to connect with different protiens on the cell membrane. If they are not the right substances and protiens, they will not be allowed through the barrier.",train
5,14501,6,2,2,"A cell uses diffusion, osmosis, and transportation. In diffusion, substances are able to travel across a semi permiable membrane. Osmosis mainly uses water to move across a cell membrane. There are two types of transport: active and passive. Active transport uses energy from the cell to move over the cell membrane while passive transport uses heat.",train
6,15633,6,0,0,Chemical reactionmitosis- reproduction of cellmiosis,train
7,14662,6,0,0,"The three processes used by the cell are the making of proteins,the packing process,and the moving of the proteins out.",train
8,14348,6,0,0,"Active transport because with active transport the substances are active, and moving around, and not just staying in one place.Deletion because it deletes some of the substances if they get in the way of something, that way they can keep moving.Diffusion because substances are kept moving, and don't just stay still.",train
9,15487,6,0,0,Transcription.,test
10,15055,6,2,2,Endocytosis. Endocytosis is when the cell uses a vesical to transport large substances into the cell. Exocytosis. Exocytosis is when the cell uses a vesical to tranport large out of a cell.Ion channels. Ion channels only let certain molecules into the cell.,train
11,14663,6,2,2,Osmosis is movement of water across a selectively permiable membrane.Diffusion requires none of the cells energy to move substances through the cells membrane.Active transport requires the cells energy to move substances through the cell's membrane by using things such as protein channels.,train
12,15260,6,0,0,cell membrane allows certain materials to move around the cells,train
13,14252,6,0,0,protiens entering cell to helpviruses disguising as proteins and entering cellNucleus sending mRNA to get things it needs from outside the cell,test
14,14216,6,0,0,"three processes used by the calls to control the movement of substances across the cell membrane are cellular resparation, photosynthesis, and cell division.",train
15,14934,6,0,0,1. Kreb cycle when they move carban and oxygen around to make ATP2. Calvin cycle when they use oxygen to make a little ATP3. Active Transport that moves the cells around to make ATP,test
16,15320,6,0,0,"flagellem helps them move, cili help them move, and moving side to side or something like a motion of a snake.",train
17,14266,6,0,0,"flagella, cellium,",train
18,14617,6,1,1,Dynamic equilibrium: the cell membrane keeps the same amout of substances in a cell as there is out.Diffusion: the movement of water across the cell membrane.Semipermeable membrane: allows some substanes to enter and others to not enter the cell.,train
19,14041,6,0,0,"The three processes used by cells to control the movement of substances across the cell memebrane are osmosis, diffusion, exocytosis. These three all help control the movement of substances across the cell membrane.",train
20,15070,6,0,0,The flagellum is used for movement across the cell membrane.Proteins.,train
21,14784,6,2,2,Diffusion- when substances are moved from a high consintrasion to a lower consintratsion.Osmoius- when water moves through the cell membrane.,train
22,14666,6,0,0,"Cells move protien to every part of your body. There are millions of cells in your body, working to fight iff infection.Cells help keep you healthy.",train
23,15341,6,0,0,1.  cells is what your body has in it so you can live2.  cells cary anything to where ever it goes3.,test
24,14093,6,0,0,"Diffusion, osmosis, transfusion",test
25,14808,6,0,0,The cell uses it organells and cell wall and membrane to controll what gos in and comes out.,train
26,14138,6,0,0,"mitosis. The cell splits up to a sister, as they call it.miosis. The sister chromatid grows",train
27,15413,6,0,0,translation transcription and protein synthesis,train
28,15423,6,0,0,"The cell membrane tries to equal up the movement of substances from side to side. First the subtances flow freely through the membrane. Then, when the cell has gotten enough substances the membrane sends substances out of the cell.",test
29,15138,6,0,0,"Three processes used by cells to control the movement of substances across the cell membrane are, mRNA which gives instructions to a cell. tRNA which transfers stuff to a cell.",train
30,15189,6,0,0,active transport-transports the portiensosmosis-transfers thingsdiffusion-gets rid of things,train
31,14488,6,1,1,One of them is that the cell membrane is selectivley permeable. The cell membrane controlls what enters and exits the cell.  The nucleus tells the cell what to do because it acts as a brain.,train
32,14001,6,3,3,"1.     -Osmosis is how water gets diffused thru the membrane. 2.     -Active Transport is where an enzyme opens the cell membrane for an object to come in, and extra energy is needed to assist the object into the cell.3.     -Passive Transport is where an enzyme opens the cell, but the object doesn't need the extra energy to come in.",train
33,15574,6,0,0,INTO A CELL- SO THAT THE INFORMATION CAN BE PROSESSED.OUT OF A CELL- SO THAT IT CAN GET RID OF WASTE.SHARED- SO THAT IT CAN RELATE INFORMATION.,train
34,15232,6,0,0,"convergent evolution, divergent evolution",train
35,14007,6,0,0,"Osmosis, balancing water levels.Diffusion of cell materials.mRNA leaving the nucleus.",train
36,14108,6,0,0,1. they start from one part of the body and move too the given area they need2. mRNA3. tRNA,train
37,14545,6,1,1,"One process that a cell uses to control the movement of substances across the cell membrane is the surface area. If the surface area is too large, the cell won't let any more substances move throughout the cell membrane. Another way is facilitated diffusion. This controls the amount of substances that are allowed to enter the cell.",test
38,15188,6,0,0,"Pores in the membrane allow substances in and out of the cellGolgi body helps transport substances in and out of cellmRNA moves DNA sequences from place to place, in and outside of the cell",train
39,15407,6,0,0,they have movements that help the cell produce enought energy to move.the cells must have an energy source that will allow them to move and have a normal cell growth.while things are going past the cell membrane they have to watch for certain thigs that will allow the mto keep them safe.,train
40,14237,6,1,1,Osmosis moves water through the cell membrane.,train
41,15430,6,0,0,Flagella- helps the cell move. Cilla- which also helps the cell move Slime on the cell wall helps the cell move.,train
42,14409,6,0,0,Though a small opening that only aloows certain thing to come in. The fact there is no cell wall. Pushing and using enegry to get though the cell membrane.,train
43,15314,6,0,0,"One process would be cell growth and metabolism , because to move you need to have the right metabolism so you have the energy to even move in the first place.     A second process could be protein synthesis , because you obviously need all the protein you can get to keep you moving throughout the days of hard work.      A third process is the creation of cells , this is a big part of cell movement. You cant just have one cell and expect it to do everything like move, create energy,etc.",train
44,14274,6,0,0,1. anaphase2. telophase3. interphase4. prophase,test
45,14177,6,0,0,The cell uses the flagellum to move easier the move easier throught the cell. The cell also uses it cell wall in order to keep the substances in the cell. The third process the cell uses is its nucleus to control the cell.,train
46,14553,6,0,0,THEY MOVE THROUGH THE CELL SYSTEM.THEY MAKE SURE THAT THE CELLS ARE NOT INFECTED WITH DISEASES.THEY REPRODUCE AND MAKE NEW CELLS FOR THE CELL MEMBRANE,train
47,14384,6,0,0,"The three process that can be used are in meiosis which would be, prophase, interphase, and telophase. Metphase would not be used in this.",train
48,14945,6,0,0,ONE:,train
49,14328,6,0,0,Osmosis-moving water across the cell,train
50,15337,6,0,0,Cell WallVacuole,train
51,15569,6,0,0,"Three processes used by cells to control the movement of substances across the cell membrance are mRNA, tRNA, and rRNA.",train
52,15627,6,3,3,Active transport-requires energyPassive transport- requires no energyosmosis- the movement of water from one place to another,train
53,14550,6,0,0,"Run DNA, Datizing.",train
54,15263,6,0,0,Photosynthesis is the process in which an organism collects enegry from sunlight.Homeostasis is the process in which an organism stores and collects enegry.Another process in which an organism produces it's own enegry.,train
55,14702,6,0,0,Moving from the golgi bodies to the cell wall by visicles is one way. Taking Ribosomes from the Rough ER to the golgi bodies is another. Mitosis could be another way of movement.,train
56,14963,6,0,0,The Cell Membrane will act like a body guard and say weather or not an object or organism can make its way into the cell.  The cell may use asmosis to tranfer material across the cell.  The nucleus is the brains of the cell and it will tell if something is supposed to be there or not.,train
57,15726,6,1,1,"Cells can use the process of osmosis which has water pass through its barrier. A second process is diffusion. Lastly, a third process is facilitated diffusion.",test
58,14624,6,0,0,"Meosis, Metaphase, and RNA.",train
59,14210,6,0,0,1.Sliava2.Sweat3.waste,train
60,14315,6,0,0,transportation,train
61,14646,6,0,0,with the tail at the end of the cell. The cell walls. The celll membrain to tell it what to do.,test
62,14954,6,0,0,mieosis meitosis diffusion,test
63,15281,6,2,2,Cell mebranes are semi-permeable. They only allow certain things to enter in and out of the membrane.Proteins can be on the mebrane to guide things into the cell through active transport.Diffusion allows items to go from a high concentration area to a low concentration area through the membrane.,train
64,15312,6,2,2,Active Transport-Transport that uses energy in transporting objests across the membrane.Diffusion-Diffusion of objects across a permeable membrane.Osmosis-Movment of water across a membrane.,train
65,14188,6,0,0,Useing organelles.,test
66,15587,6,0,0,One process by which cells move substances across the membrane is the movement of RNA. Two is the movement of energy and three is the organeles send messages to the nucleus to control the movement.,train
67,15025,6,0,0,Wall cells are in plants to keep the strucure of it.,train
68,15270,6,0,0,Celluar respiration.,train
69,14289,6,0,0,"tRNA, mRNA,rRNA",test
70,15350,6,2,2,Cells can use osmosis to get water across the membrane. Cells can also use diffusion. Active transport requires the cell's energy and exports things out of the membrane.,train
71,15179,6,0,0,they control the movement across the cell mambrane by taking control of each individual part of the cell.,train
72,15358,6,0,0,"Tansmitting, Copying,",train
73,14964,6,1,1,Cells use diffusion and osmoisis to move substances across the cell membrane. Diffusion is substances moving from an area with more mass to an area with less mass. Osmoisis is the movement of water through the cell membrane. A cell membrane also has pores that particles can enter and exit from.,train
74,15090,6,0,0,There is a endoplasmic reticulum that acts like a guide in the cell. Then there is flagella in the cell that helps control the movement. There is also cytoplasm that helps the control.,train
75,14164,6,0,0,ANAPHASETELOPHASEMETOPHASE,test
76,15121,6,0,0,anaphase interphase and prophase,test
77,15744,6,3,2,"Three processes used by cells to control the movement of substances across the cell membrane are osmosis, facilitated diffusion and active transport. Osmosis is the diffusion of water across a semi-permiable membrane. Facilitated diffusion is the diffusion of a large molecule across a semi-permiable membrane that requires help, such as transport protiens. Active diffusion is the diffusion of a molecule that requires the use of energy.",train
78,14459,6,0,0,meiosismeitosiscell division,train
79,14362,6,1,1,"osmosis, is the process in which water can pass through a permeable membrane.diffusion allows little substance to pass through the cell membrane.",test
80,15364,6,0,0,The first process used by cells to control the movement of substances acrossed the cell membrane are Ion Channels. They let only ions pass through the lipid bilayer and move along the cell. The second process that is used are carrier proteins they help carry the proteins acrossed the cell. The third way used is enzymes. They help move the substances across the cell so they can pass through the cell membrane.,train
81,15360,6,0,0,They have a cell membrane to control what comes in and out.They try to capture food.They remove things they don't need.,train
82,14166,6,0,0,The nucleus is the one that tells the other cell parts what to do. So it gives the order then the ribosomes transport the substance out of the nucleus.,test
83,15545,6,0,0,"the flagellum, psudapod and the phylopod",train
84,15264,6,0,0,Cells breaking down. feeding the cells. and letting the cells grow.,train
85,14022,6,0,0,the cell slide through the membrane then the cell breaks into piecsand the cell eats,train
86,15676,6,0,0,a cell uses the plasma to hold all of the organelles in place.,train
87,14777,6,0,0,they use messanger thing they takek them and som other things i really dont rember so ye but that was my little thing and you people suck makeing us take the stupid tests,train
88,14293,6,0,0,injection,train
89,14425,6,0,0,"Anaphase, metaphase, telaphase",test
90,14809,6,0,0,"Three processed used by cells to control the movement of subtances across the cell are called the cilia, flagnelle, and the something else.",train
91,14793,6,0,0,They use different types of systems depending on the proccess that the cell needs done.,train
92,15639,6,0,0,"diffusion, exocysitosis, and endocitosis. Exocysotosis moves things out of the cell and endocytosis moves things into the cell. Diffusion moves water into and out of the membrane.",train
93,14333,6,0,0,The cell membrane controls the traffic from one side to another side of the membrane.,train
94,15584,6,0,0,the blood flow     the size of the cell to make it though the vansalso they need to be strong to fight off bacteria,train
95,14015,6,0,0,Use of the membrane of the cell helps create movement.,train
96,13977,6,0,0,The cell membrane uses enzymes.,train
97,15240,6,0,0,"the three processes used by the cells to control the movement are through protein chemicals, lysomes throughout hte cell and through the blood.",train
98,14569,6,0,0,"protiens, lipids, and amino acids",train
99,15660,6,0,0,"cell membrane, protein, and feniues",train
100,15156,6,0,0,They have layers which regulate what can enter and exit the cell membrane. They have a screen-like function that detects weather or not a substance is sizable to enter the membrane.,train
101,14182,6,0,0,difusion. facillitated difusion. osmosis.,train
102,13979,6,0,0,cell respiration,test
103,14178,6,1,3,1. Active transport is a process that requires energy because it moves substances against their concentration gradient.2. Simple diffusion is a type of passive transport that moves substances down their concentration gradient. This process requires no energy.3. Facilitated diffusion is a type of passive transport that uses protein to move substances across the cell membrane. No energy is required for this process.,test
104,14726,6,0,0,Mitosis-the addition of more proteins.The cell cycle-this helps regulate what is going onChemosynthesis-this helps it adapt to the changing environment,train
105,14200,6,0,0,Golgi Bodies for packaging waste products. Lysosomes used to eat away at the wastes. ER used to move ribosomes.,test
106,15485,6,0,0,"The concentration gradient moves things throught the cell pushing them although exocytosis uses its own energy to push things, such as waste, out of the cell.",train
107,15626,6,0,0,Cells use organelles to move things around it. there are 2 of things that can be used to move it throughout the cell. they are the smooth and rough Endoplasmic Reticulims,train
108,15742,6,0,0,"The three processes that the cell uses to conrol the movement across the cells are the movement of the lipid, nuclies, and another process.",train
109,15237,6,0,0,Mitios,train
110,14339,6,0,0,"Mutation, transcription, and translation are three processes.",train
111,14042,6,1,1,"Osmosis is one process that moves water from a high concentration area, to a lower concentration area. This makes it even throughout the whole cell. Diffusion is another process that moves water from a low area of concentration to a high area of concentration. Activation is another process, it",train
112,14864,6,0,0,"The cellia it has little tails that make a cell move, the water vain that go to the membran of the cell, and the memebran that controls the every thing to make the cell move.",train
113,15231,6,0,0,"FLAGELLUM-WHEN A WHIPLIKE THING ALLOWS THE ORGANISM TO PULL ITSELF ALONG.CILIA- LITTLE HAIRLIKE THINGS THAT PULL THE ORGANISM ALONGLEGS- HELP ORGANISMS WALK, RUN, ECT.",train
114,14769,6,2,1,"Diffusion, this distibutes molecules evenly.Osmosis, water distributing evenly. Active Transport, the cell itself using energy to move materials.",train
115,14661,6,0,0,RNAMRNADNA,test
